company_name,company_email,company_summary
ALTSOFTSTUDIO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,k_suchocki@altsoftstudio.com,"AltSoft Studio specializes in providing highly intellectual software solutions for the digital world. They offer a cloud-native solution for investments, cryptocurrency trading, and NFT blockchain. They also automate business processes for banks, insurance companies, and industrial sectors. AltSoft Studio's main product is ALTSOFT.DIGITAL BANK, which is a trading platform, marketplace, and embedded banking solution. It allows clients to serve themselves and enables bank employees to fulfill client-related"
AMARYLLIS POLSKA,vadims@amaryllispay.com,Amaryllis Polska Sp. z o.o. is a company based in Poland that operates in the computer and office technology industry. They offer technical works and skills related to computer systems and office equipment.
ANALYTIUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,nicola.nevlev@analytium.co.uk,"Analytium is a company that specializes in analytics for businesses. They offer services and solutions to help businesses eliminate data silos and have a single version of truth. They have expertise in industries such as banking, finance, insurance, telecoms, and retail/e-commerce. They provide technical works and skills in areas such as data management, reporting, analytics, and cloud. They also offer resources such as blogs and news to provide valuable information to their clients"
Anegis Sp. z o.o.,adlugosz@anegis.com,"ANEGIS is a company that specializes in implementing solutions for optimizing and automating business processes. They offer IT solutions such as ERP systems, CRM systems, and business intelligence software. They are experts in Microsoft Dynamics 365 systems and have completed successful implementations in over 200 companies. They also provide services such as CRM audits, ERP implementation, and reactive and proactive support. ANEGIS has a strong focus on customer satisfaction and works with clients to maximize"
Andersen sp. z o.o.,g.kostkowska@andersenlab.com,"Andersen in Poland is a company that provides legal, tax, transfer pricing, accounting & outsourcing, and compliance services. They also have a software development division that offers custom IT development services, specializing in front-end, back-end, and mobile development. Additionally, Andersen Sp. z o.o. is involved in the computer systems design industry."
AORION EU,info@aorion.aero,"Based on the search results, it is difficult to determine the specific technical works and skills of the company. However, some of the keywords mentioned in the snippets include HighTech, innovations, aviation, robotics, clinical diagnostic tests, hygiene monitoring tests, telescopes, binoculars, specialty chemicals production, and open science research and innovation."
APEL Sp. z o.o.,kseniya.pihlblad@apelsoft.eu,"Unfortunately, I am unable to access the search results due to a security block."
Apollogic Sp. z o.o.,katarzyna.jesionek@apollogic.com,"Apollogic is a company that specializes in digital transformation and provides SAP and Microsoft solutions. They offer cloud solutions, business applications, IT system integration, and outsourcing services. They also focus on improving competitiveness, increasing revenue, and finding cost savings for businesses. They have expertise in various technologies and have worked with major global brands. As an official partner of SAP, Microsoft, and Raspberry Pi, they implement and integrate solutions from these leading software providers."
Appodeal Stack sp. z o.o.,katarzyna.raniszewska@appodeal.com,"Appodeal Stack is an ad tech company that offers an end-to-end solution for mobile app monetization, user acquisition, and business intelligence. They provide a range of products and services, including ad monetization, ad exchange, actionable insights, and user acquisition. Their goal is to help app developers scale their businesses and drive profits. They offer tailored solutions for executives, monetization teams, user acquisition teams, and data analytics teams. Their payment model"
Appotype,careers@appotype.eu,"company, Appotype, is a software house that specializes in various technical works and skills. They offer services in mobile app development, web app development, artificial intelligence, medical databases, market research, and quality management. They have expertise in healthcare, internet of things, and fintech. They aim to provide a business model that balances agility and predictability for their clients."
APPRAISE LAB,contact@getappraise.com,"BriteCo specializes in providing jewelry insurance policies, including coverage for lab-grown diamonds. They emphasize the importance of getting an appraisal for lab-grown diamonds when applying for jewelry insurance. They also provide information on why people are buying lab-grown diamonds and the documentation needed for a lab-grown diamond appraisal. BriteCo positions themselves as the best choice for a jewelry insurance policy."
Apptio Poland Sp. z o.o.,mmarasek@apptio.com,"Apptio Poland is a subsidiary of Apptio, Inc. that focuses on product delivery and innovation. They design solutions and deliver products and features. They also aim to attract high-caliber technology talent in Poland. Apptio Poland is involved in the development of computer software and is located in Wrocław."
A1QA sp. z o.o.,o.meshcheryakova@a1qa.com,"a1qa is a pure-play software testing company that offers a range of testing services including full-cycle testing, QA consulting, managed testing services, test automation, and more. They specialize in quality engineering and provide complete test coverage through functional testing, performance testing, cybersecurity testing, and usability testing. They also offer documentation services and dedicated QA teams. The company has offices and testing labs in multiple countries in Europe."
Aras Software Sp. z o. o.,pfilipczak@aras.com,"Aras is a company that specializes in Product Lifecycle Management (PLM) solutions. They offer a range of technical works and skills, including digital thread, digital transformation, digital twin, simulation management, quality management, and more. They cater to various industries such as aerospace & defense, automotive, high-tech electronics, industrial/heavy equipment, and medical devices. Aras aims to transform the way the world makes products and provides flexible PLM technology to"
ArcadiaGroup sp. z o. o.,hello@arcadiagroup.pl,"ArcadiaGroup is a web development company based in Poland. They specialize in influencer marketing and have developed a platform that streamlines the process of working with brands and influencers. They have a team of developers who constantly improve their platform. They are currently hiring back-end engineers, data engineers, QA engineers, and front-end engineers. They offer remote work opportunities and assistance with relocation to Poland. They also provide medical insurance."
ARCHIBALDI STUDIO ARTEM GALITSYN,job@archibaldistudio.com,"Archibaldi Studio specializes in video game audio production, post-production, music composition, mixing, and mastering. They have expertise in sound design and music composition for video games and movies. The company is led by Artem Galitsyn, who is a lead sound designer, music composer, and creative director. They have worked on projects such as the original soundtrack for Dream Woods. Archibaldi Studio also has a presence on SoundCloud, where they share"
Arla Global Shared Services,TA_PL@arlafoods.com,"Arla Global Shared Services is a company that operates as a Global Shared Services Center, delivering projects in finance, IT, HR, procurement, risk, and compliance. They are part of the global Arla Foods group and employ 19,000 people worldwide. They do not produce butter or cheese, but instead focus on providing services in various technical areas."
ARTISMEDIA SP. Z O.O.,info@artis-media.com.pl,"ArtisMedia is a company that specializes in computer system design and related services. They offer services such as website development, ERP system implementation, SEO optimization, creation of websites for government organizations, and support for websites. They also provide services for creating online stores, logos, and integration with payment systems. Additionally, they offer solutions using Bitrix24, including licenses and support for the platform."
ARTOCON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,aleksey.kukovich@artocons.com,"Artocon is a consulting company that specializes in SAP consulting and development services. They provide consulting services in system design and implementation for businesses. Their team of SAP consultants uses creative problem-solving techniques to develop customized solutions that align with their clients' specific needs and goals. They also prioritize collaboration and teamwork to ensure the success of SAP projects. Additionally, Artocon focuses on creating aesthetically pleasing user experiences in their SAP solutions."
Artpoldev Sp. z o.o.,arkvit@gmail.com,"Artpoldev is a company that specializes in mobile app development and attracting traffic from various sources. They develop their own mobile products and offer services in UI/UX design, development, marketing, and advertising. They have expertise in developing mobile apps for any existing system and topic, launching ads for any traffic sources, and providing support from design to release. Their team consists of professionals in iOS/Android app development, marketing strategy creation, project launches and"
ASBIS POLAND SP. Z O. O.,mc@asbispoland.com,"ASBIS Poland is a company that specializes in the distribution of IT hardware and solutions. They have over 20 years of experience in delivering IT equipment and solutions in Poland. They offer a wide range of products and services, including ICT and IoT solutions, CCTV and security, retail distribution, premium brands, robotics, and their own brands. They are part of the ASBIS Group, one of the largest IT hardware distribution companies in Europe, the"
ASPER BROTHERS,hello@asperbrothers.com,"Asper Brothers is a company that supports startups in strategizing, building, and scaling digital products. They offer custom solutions in various sectors and use the best technology to ensure the products are reliable and ready to scale. They have experience in industries such as real estate, automotive, fintech, healthcare, video, marketing, education, HR, and travel. They also provide technical SEO services and are a web development company. They have 16 years of"
Association of Belarusian Business Abroad,abba@abbabusiness.org,"The Association of Belarusian Business Abroad (ABBA) focuses on lobbying, advocacy, representation, and protection of the rights and interests of Belarusian business given the current geopolitical situation. They also provide expert advice, legal support, and financial assistance to businesses, start-ups, and business ideas. They aim to build a strong Belarusian business diaspora abroad and create a global network of Belarusian businesses."
BUFFER GROUP EUROPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,dmalyshko@atomichronica.com,"Buffer Group is a company that specializes in connecting innovative tech leaders with exceptional IT talent. They offer services such as IT staff augmentation, direct staffing, project-based software development and testing, and business processes automation. They have a strong presence in Central/Eastern Europe and have completed numerous successful projects. Their team is constantly improving their digital skills and expertise to provide innovative solutions. They also offer highly tailored solutions in staffing and software development."
ATOMICON SP Z O O,info@atomicon.pro,Atomicon is a software development outsourcing company with 10 years of experience in the development of high-load services in Fintech and DeFi. They are based in Poland and operate in the computer systems industry. They offer technical expertise in software development and have a focus on high-load services in the financial technology and decentralized finance sectors.
ATOS POLAND R&D,marta.kicinska@atos.net,"Atos Poland Global Services offers IT infrastructure management services, IT systems integration, outsourcing, and IT consulting. They also have a research and development (R&D) center and focus on innovation in areas such as artificial intelligence, cloud solutions, collaborative workplace, and cybersecurity. Atos is a pioneer in innovation and research, with a significant annual R&D spend, numerous patents, and multiple R&D centers worldwide."
Aurora Creation,job@auroracreation.com,"Aurora Creation is a software house specializing in Magento implementations. They have 15 years of experience and offer services such as Magento eCommerce solutions, migration to Magento 2, B2B functionalities, graphic design, integration with ERP systems, and more. They also work with other platforms like Shopware 6, PimCore, and Vue Storefront. They have a team of certified Magento specialists and have completed over 100 Magento implementations."
AWTG,ian.vernon@awtg.co.uk,"AWTG Ltd. is an end-to-end engineering services and technology solutions provider for companies in Telecommunications, Smart Cities, Industry 4.0, and more. They offer services such as consultancy, engineering, software development, and transformation. They also provide innovative solutions like Enterprise AI Assistant, E/M-Commerce, Private Networks, and Youth Development. AWTG aims to deliver quality, innovation, and transformation to help their customers achieve better results and"
AWTG,account.pl@awtg.co.uk,"AWTG Ltd. is an end-to-end engineering services and technology solutions provider for companies in Telecommunications, Smart Cities, Industry 4.0, and more. They offer services such as consultancy, engineering, software development, and transformation. They also provide innovative solutions like Enterprise AI Assistant, E/M-Commerce, and Private Networks. AWTG aims to deliver quality, innovation, and transformation to help their customers achieve better results and transform their businesses"
Axiom Connected,yuliya.uharenka@axiomconnected.com,nd technology solutions for any industry.Explore Any Kind of Tech
Axiopea,dmitry.ryzhevich@axiopea-consulting.com,"Axiopea Consulting is a software engineering company that specializes in Microsoft Dynamics 365 for Finance & Operations development, implementation, customization, upgrade, and support services. They have over 15 years of experience and have completed more than 50 successful projects with Microsoft partners and end-customers. They offer services such as Dynamics customization, optimization, integration, upgrade, and support. They also provide solutions such as Dynamics 365 Document Management Studio and Data Exchange"
AZATI SOFTWARE sp. z o.o,praca@azati.com,"Azati is a software development company that provides services such as software development, data science, machine learning, product engineering, devops services, and quality assurance. They work with clients from various industries, including insurance, bioinformatics, human resources, and real estate. They have a team of software developers, architects, designers, and project managers who are experienced in tackling sophisticated challenges. They have worked on projects of varying difficulty levels and use cutting-edge technologies"
B2BNetwork,monika.sek@b2bnetwork.pl,"B2Bnetwork is a Polish company specializing in Quality Assurance and the supply of IT specialists. They offer services such as software testing, outsourcing of IT personnel, QA consulting, manual testing, performance testing, automation testing, and security tests. They also provide training in the form of dedicated trainings for enterprises, stationary and online training. B2Bnetwork focuses on creating safe and stable software, using their own proprietary tools and solutions, and ensuring a"
Backbase Poland,annaw@backbase.com,"Backbase is a company that specializes in digital transformation for banks and financial institutions. They provide an Engagement Banking platform that helps these institutions get closer to their customers. They have a Business Development Center in Krakow, Poland, where their international R&D and Customer Success departments work together to share ideas and strengthen their path forward. They offer various perks to their employees, including private health insurance, a training budget, and high-spec equipment. They are also actively"
BASE sp. z o.o.,ZendeskPolandMobility@zendesk.com,"The company, BASE SP Z O O, is involved in the Computer Systems Design and Related industry. They offer services such as accounting, tax preparation, bookkeeping, payroll services, and computer systems design. They are based in Poland, with their head office located in Krakow. They specialize in providing technical solutions and expertise in areas such as diamond cutting techniques, concrete cutting, drilling, and diamond saws. They also offer sales of diamond tools and"
Bayer,lukasz.olejniczak@bayer.com,"I apologize, but I am unable to access the internet or browse search results. My responses are based on pre-existing knowledge and information. Is there anything else I can help you with?"
BEC FINANCIAL TECHNOLOGIES A.M.B.A. SPÓŁDZIELNIA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE,becpolandpeopleandculture@bec.dk,BEC Financial Technologies is a Danish fintech company that provides financial tech solutions for major Danish banks. They have a full-service IT house and have a large staff in both Poland and Denmark. They have over 50 years of experience in developing technical solutions for the financial industry.
beHighload SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hello@behighload.com,"beHighload is a company that specializes in web and app development. They offer services in creating high-quality, customized web-based applications that meet the specific needs of their clients. They have a team of professionals who understand the latest technologies and trends in the industry. The company is based in Warsaw, Poland."
BELKA GAMES PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,julia_drozdza@belkatechnologies.com,"Belka Games is a company that specializes in creating social and mobile games. They have been operating since 2010 and have a team of over 300 professionals. Their focus is on developing games with high average revenue per user (ARPU) and strong player retention. They offer various games, including Clockmaker and Bermuda Adventures. Belka Games is based in Limassol, Cyprus."
BELVG SP. Z O.O.,a.simonchik@belvg.com,"BelVG is an eCommerce development company that specializes in online store development on platforms such as Magento, PrestaShop, and Shopware. They offer services such as Magento 2 development, Magento migration, Magento support, website audit, PrestaShop development, and PrestaShop support & maintenance. They also develop Magento extensions and PrestaShop modules. The company is based in Krakow, Poland, with an office in Riga, Latvia. They"
Bertek Polska Sp. z o.o.,adolka@bertek.pl,"Bertek is a digital services company that specializes in outsourcing and nearshoring. They provide top-notch expertise in IT consulting, particularly in web, mobile, and CRM technologies. They assist companies in their digital transformation and offer innovative solutions for their clients. Bertek was founded in 2012 and has offices in Montpellier, Warsaw, Paris, and Lille. They have a team of over 80 members and operate in multiple countries."
Beqom Polska sp. z o.o.,recruitment@beqom.com,"beqom is a company that specializes in Total Compensation Management Software Solutions. They focus on managing compensation and performance for HR and Sales. They recently opened a new office in Krakow, Poland to address their European growth. The new office will be headed by Jurian Kaljee, who will be responsible for customer care and support in the region. beqom has also received a $35 million investment from Goldman Sachs to accelerate their worldwide growth."
BG SOFT LLC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hr@bgapps.pl,"BG Soft LLC Sp. z o.o. is a software development company based in Poland. They specialize in computer systems and mobile app development, specifically for iOS and Android platforms. The company aims to deliver high-quality software solutions to their customers."
BILLWERK+ Poland Sp. z o.o.,ivan@billwerk.com,"Billwerk+ is a company that specializes in subscription management, recurring billing, and payment services. They offer automation solutions for businesses to manage their recurring revenue and payments. They provide services such as subscription lifecycle management, billing automation, financial accounting, revenue relationships, retention optimization, and reporting & archiving. They also offer payment services including acquiring service, payment gateway, payment security, and payment automation. Billwerk+ serves various industries such as SaaS,"
Billennium S.A.,kamil.mikolajczyk@billennium.com,"n providing IT outsourcing services to companies across various industries. Our Competence Centers are dedicated teams of experts who specialize in specific areas such as software development, integration, software quality assurance, DevOps and cloud services, CRM development, automation, project management, and document management. We also offer solutions for the paperless office, document management, and sales enablement. We have partnerships with Microsoft, AWS, Google, and Salesforce, and our team is skilled"
BIVIAR Partners Sp. z o.o.,artyom.vaskanian@biviar.com,"BIVIAR Partners is an SAP Service Partner that specializes in HCM & Payroll solutions. They offer technical works and skills such as ABAP OO, ABAP for HCM, UI5/Fiori, SAP Business Workflow, and Integrations. They are a service partner of the German company SAP and have been in operation since 2014. They are based in Warsaw, Poland."
Biznes Expert sp. z o.o. (weexpert.io),serhii.pronin@weexpert.io,weExpert is a business incubator in Poland that provides assistance to freelancers and employers. They offer a product that can be integrated into clients' goals and provide personal business assistants to each client. They also offer services related to accounting and legal matters.
BLATT  SP.Z.O.O.,info@blatt.ltd,"Based on the available search results, it is difficult to determine the specific technical works and skills of the company Blatt Spółka Z Ograniczoną Odpowiedzialnością. The search results include various unrelated information such as a company directory listing, a LinkedIn profile of an individual named William Blatt, and an image of a walking leaf insect. The blocked website, aleo.com, may have provided more information about the company's"
Bolt Services PL Sp. z o.o.,michal.telejko@bolt.eu,Bolt Services Pl Sp. z o.o. is a company based in Poland that operates in the support activities for road transportation industry. They provide technical services and skills related to road transportation support.
BoomBit SA,iryna.kasianova@boombit.com,"BoomBit is an international mobile game developer and publisher that creates games from all major mobile genres, including Hyper-Casual, Casual, and Mid-Core projects. They have teams all over the world and employ specialists in development, business intelligence, design, and user acquisition. They focus on combining a developer-friendly environment with data-driven decision making. BoomBit has published over 60 games since 2021 and has over 1.5 billion downloads."
Box Poland Sp. z o.o.,poland-careers@box.com,"Based on the limited information available, it is difficult to determine the specific technical works and skills of Box Poland Sp. z o.o. However, the company is described as an enterprise in Poland that operates in the Computer Systems industry."
BPM Consulting,oleg@bpmc.pl,"The company specializes in providing accounting and consulting services tailored to agribusiness needs. They also offer HR consulting services, technology solutions, and have multiple locations. The company focuses on BPM (Business Process Management) and has over 10 years of experience in BPM consulting."
BPOWER2 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,karolina.piatek@bpower2.com,"Bpower2 is a company that offers a multiplaner system to help improve productivity and efficiency for various departments within organizations. They provide solutions for support, sales, finance, quality control, and purchasing departments. Their multiplaner system automates tasks, synchronizes daily to-do lists, and allows for customization to meet specific needs."
Braavo Capital PL,olga@getbraavo.com,"Braavo is a technology company that provides on-demand funding for mobile apps and games. They offer revenue-based funding solutions that allow founders to scale their businesses without giving up equity. They also provide powerful business intelligence software called Braavo Analytics, which helps app entrepreneurs track revenue growth and gain insights to transform their businesses. Braavo's funding solutions are designed for app growth and are non-dilutive, making them founder-friendly. They cater to app businesses"
BRAD Consulting Sp. z o.o.,biuro@bradconsulting.pl,"BRAD Consulting is a management consulting company that provides restructuring and improvement services to Polish and international firms. They offer business consulting and services, with a focus on administrative management. The company is based in Warsaw, Poland."
Brains & Beards,harbour@brainsandbeards.com,"Brains & Beards is a mobile studio that specializes in solving business problems through a combination of design and technology. They have a remote team of experienced developers located throughout Europe. Their technical works and skills include developing cross-platform mobile apps using React Native, building state-of-the-art applications for iOS and Android using native frameworks, and providing staff augmentation services to help scale existing development teams. They have been in the market for 8 years and have worked with a"
BRATTEPL SP. Z O.O.,hr@bratte.com,Brattepl Sp. z o.o. is a company based in Poland that operates in the field of Computer Systems Design and Related services. They specialize in providing business consulting services and developing strategies.
